Advertiser_ID,Advertiser_Name,total_spend,total_creatives,ca_ad_count,avg_ad_spend,avg_impressions,avg_cpi,avg_ad_duration,pct_video,pct_text,pct_image,avg_geo_targets,pct_age_targeted,pct_gender_targeted,avg_pct_target_young,avg_pct_target_middle,avg_pct_target_older,pct_female_only,pct_male_only,avg_ca_districts,has_district_targeting,weeks_active,spend_consistency,max_weekly_spend,pct_spend_in_peak_week,num_states,pct_spend_ca,geo_hhi,cluster_label,archetype,pca_x,pca_y,spend_per_creative
AR00234461646213349377,JANET NGUYEN FOR ASSEMBLY 2020,25900,4,4,5925.0,507500.0,0.010213716108452951,17.5,1.0,0.0,0.0,60.0,1.0,1.0,0.15000000000000002,0.42500000000000004,0.42500000000000004,0.0,0.0,0.0,0.0,8,0.674721695233373,7200,0.27692307692307694,24.0,0.2907801418439716,0.4787988531763996,0,Targeted Persuader,-2.8992997877944298,0.27690329143787396,6475.0
AR09385132599850041345,Mike Levin for Congress,117600,32,32,3614.0625,318140.625,0.045950049445308734,20.3125,0.8125,0.1875,0.0,55.21875,0.6875,0.6875,0.22916666666666666,0.22916666666666666,0.22916666666666666,0.0,0.0,0.0,0.0,18,0.7751476729009505,20200,0.17162276975361088,52.0,0.9584013050570962,0.9185669919551639,0,Targeted Persuader,-1.5803450973327715,-1.0995618945941898,3675.0
AR11971828983747575809,Mike Garcia for Congress,39600,173,173,245.08670520231215,15760.115606936417,0.05637318275855114,49.190751445086704,0.5549132947976878,0.44508670520231214,0.0,92.0635838150289,0.5317919075144508,0.5317919075144508,0.1772639691714836,0.1772639691714836,0.1772639691714836,0.0,0.0,0.0,0.0,68,1.1781934248321195,2400,0.05955334987593052,55.0,0.8724373576309795,0.7619045148167559,0,Targeted Persuader,-0.43616593529011316,-0.2432472879569861,228.90173410404626
AR07446197720336826369,MIKE THOMPSON FOR CONGRESS,7300,19,18,438.8888888888889,56416.666666666664,0.09325611036137353,17.833333333333332,0.8333333333333334,0.05555555555555555,0.1111111111111111,105.0,0.9444444444444444,0.0,0.1888888888888889,0.3777777777777778,0.3777777777777778,0.0,0.0,0.0,0.0,12,1.2095300587265134,1700,0.21794871794871795,51.0,0.6260869565217392,0.3952362948960305,0,Targeted Persuader,-1.5323333462214972,0.35501993066315823,405.55555555555554
AR02666971693481721857,Faithful Citizens Network,16500,41,24,179.16666666666666,55833.333333333336,0.017400609137451242,82.54166666666667,0.0,0.5,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,1.3095379742040145,2000,0.06944444444444445,56.0,0.03333333333333333,0.06808641975308642,1,Hyper-Local Grassroots,2.5938616015149076,2.4643611995698804,687.5
AR15834287266244591617,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),831600,1850,3,7000.0,725000.0,0.007832167832167832,15.0,1.0,0.0,0.0,6.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,48,1.1842266084189845,82700,0.09947077219148424,53.0,0.02603479304139172,0.09552434803981018,0,Targeted Persuader,-2.982058816331334,2.095723022766092,277200.0
AR05601908423785447425,WIN IT BACK PAC,857300,69,8,18568.75,414062.5,0.05242628630399528,12.75,1.0,0.0,0.0,69.0,1.0,1.0,0.29166666666666663,0.29166666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,29,1.3462000610916387,166900,0.19468097515455499,51.0,0.1686046511627907,0.17667750135208224,0,Targeted Persuader,-2.8957669406652435,1.418408233436309,107162.5
AR03137029132152471553,Republican Party of Orange County (State Acct.),6100,2,2,3000.0,400000.0,0.007165991902834007,5.5,1.0,0.0,0.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3,0.5608173758294746,3300,0.532258064516129,28.0,0.5227272727272727,0.30578512396694224,0,Targeted Persuader,-2.9016401372344753,-0.35417651450125726,3050.0
AR04108123574240280577,Tom Patti For Congress,64700,48,48,1340.625,168218.75,0.02408722070270058,12.1875,0.0625,0.0625,0.875,112.20833333333333,0.0625,0.0625,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.0,0.0,0.0,0.0,18,1.3787141479418814,20900,0.3220338983050847,47.0,0.9182481751824818,0.8436315200596729,1,Hyper-Local Grassroots,1.508546851781543,-0.05896494622279329,1347.9166666666667
AR04621671370713989121,YOUNG KIM FOR CONGRESS,157000,24,14,9385.714285714286,338750.0,0.03621418416464856,14.285714285714286,1.0,0.0,0.0,99.85714285714286,0.8571428571428571,0.8571428571428571,0.19047619047619047,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,59,2.8202505548964294,47800,0.30445859872611464,53.0,0.9292482627921668,0.863685901490449,0,Targeted Persuader,-2.6268559189608505,-0.5159180228512029,11214.285714285714
AR18139193646170243073,ANAHEIM POLICE ASSOCIATION INDEPENDENT EXPENDITURE COMMITTEE,2900,1,1,2750.0,4500.0,0.6111111111111112,21.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5327186310922514,1100,0.3793103448275862,26.0,0.8235294117647058,0.6833910034602074,1,Hyper-Local Grassroots,3.3808014611647783,-2.180874629608246,2900.0
